Awaiting,"CNIC Mismatch",Date,Death,Driver,Evening,Leave,"Left Job","Night Shift","Not Surveyd",Other,"Other Duty",Present,"Present without Uniform",Retired,Surveyed,Total,Transfer,"Valid Absent",Zone,week,year
0,0,2017-12-11,0,0,50,6,6,11,-1,20,1,87,29,2,228,227,7,9,GIP,50,2017
0,0,2017-12-15,0,7,2,1,15,2,-1,29,43,61,181,2,353,352,2,8,GORs,50,2017
0,0,2017-12-12,1,2,34,8,4,18,-1,16,11,117,258,5,519,518,11,34,II,50,2017
162,0,2017-12-13,6,6,46,26,18,9,319,58,19,692,309,9,1410,1729,15,35,IV,50,2017
0,0,2017-12-15,0,6,13,6,20,9,0,36,25,237,29,0,401,401,1,19,PDLBC,50,2017
0,0,2017-12-16,0,1,33,16,1,0,14,10,0,93,18,2,187,201,6,7,"Project Gulshan-e-Iqbal Park",50,2017
0,0,2017-12-11,6,28,129,42,38,68,80,194,80,740,358,44,1871,1951,13,131,V,50,2017
0,0,2017-12-15,1,2,12,5,2,8,6,11,1,114,25,5,216,222,10,20,VI,50,2017
0,0,2017-12-12,0,4,13,10,2,5,2,9,3,208,34,4,302,304,1,9,VII,50,2017
167,0,2017-12-19,0,0,45,8,0,12,-2,20,3,126,42,0,432,430,6,3,GIP,51,2017
62,0,2017-12-20,0,3,0,1,0,2,481,23,6,33,49,0,190,671,2,9,GORs,51,2017
253,0,2017-12-18,0,17,40,60,6,16,475,98,88,913,239,21,1840,2315,18,71,I,51,2017
163,0,2017-12-20,1,7,1,12,2,18,309,23,2,149,267,1,709,1018,8,55,II,51,2017
587,0,2017-12-20,0,0,0,0,1,0,37,5,0,24,24,0,649,686,2,6,III,51,2017
524,0,2017-12-19,0,8,40,17,4,9,1077,37,78,449,195,1,1431,2508,15,54,IV,51,2017
138,0,2017-12-20,0,1,2,6,1,2,48,22,20,78,123,0,406,454,5,8,JillaniPark,51,2017
183,0,2017-12-20,0,5,1,3,2,10,174,80,60,184,30,0,584,758,6,20,PDLBC,51,2017
0,0,2017-12-20,0,1,0,14,0,0,198,13,0,137,27,1,200,398,6,1,"Project Gulshan-e-Iqbal Park",51,2017
625,0,2017-12-20,0,0,0,1,0,1,206,7,0,44,27,0,729,935,1,23,V,51,2017
104,0,2017-12-20,0,0,0,0,0,0,106,0,0,0,3,0,112,218,0,5,VI,51,2017
100,0,2017-12-20,0,0,0,0,0,0,480,3,0,3,6,0,116,596,0,4,VII,51,2017
